ticker;date;open;high;low;close;volume;crawl_timestamp
ANV;2025-05-05;14.76;14.81;14.76;14.81;426000;2026-09-04 09:15:08.321000+00:00
ANV;2025-05-06;13.99;15.2;13.79;15.2;3802000;2026-09-04 09:15:08.321000+00:00
ANV;2025-05-07;15.1;15.3;14.76;15.25;686800;2026-09-04 09:15:08.321000+00:00
ANV;2025-05-08;15.25;15.25;14.76;15.1;1323000;2026-09-04 09:15:08.321000+00:00
ANV;2025-05-09;15.0;15.0;14.09;14.62;1977000;2026-09-04 09:15:08.321000+00:00
ANV;2025-05-12;14.71;14.76;14.23;14.52;1478100;2026-09-04 09:15:08.321000+00:00
ANV;2025-05-13;14.91;15.15;14.71;14.71;2421800;2026-09-04 09:15:08.321000+00:00
ANV;2025-05-14;14.71;14.81;14.47;14.62;1240000;2026-09-04 09:15:08.321000+00:00
ANV;2025-05-15;14.67;14.67;13.6;14.23;3104100;2026-09-04 09:15:08.321000+00:00
ANV;2025-05-16;14.23;14.62;14.23;14.62;1264800;2026-09-04 09:15:08.321000+00:00
ANV;2025-05-19;14.57;14.57;14.23;14.23;669300;2026-09-04 09:15:08.321000+00:00
ANV;2025-05-20;14.28;14.91;14.13;14.81;2078300;2026-09-04 09:15:08.321000+00:00
ANV;2025-05-21;14.81;14.86;14.42;14.67;897000;2026-09-04 09:15:08.321000+00:00
ANV;2025-05-22;14.62;14.62;14.33;14.33;1135600;2026-09-04 09:15:08.321000+00:00
ANV;2025-05-23;14.33;14.42;14.23;14.38;465300;2026-09-04 09:15:08.321000+00:00
ANV;2025-05-26;14.42;15.34;14.04;15.34;3942100;2026-09-04 09:15:08.321000+00:00
ANV;2025-05-27;15.83;15.88;15.49;15.54;2682100;2026-09-04 09:15:08.321000+00:00
ANV;2025-05-28;15.78;15.78;15.25;15.25;1849500;2026-09-04 09:15:08.321000+00:00
ANV;2025-05-29;15.49;15.78;15.25;15.34;1484100;2026-09-04 09:15:08.321000+00:00
ANV;2025-05-30;15.34;15.54;15.25;15.34;1070800;2026-09-04 09:15:08.321000+00:00
ANV;2025-06-02;15.34;15.73;15.05;15.73;2241600;2026-09-04 09:15:08.321000+00:00
ANV;2025-06-03;15.97;15.97;15.54;15.68;1445500;2026-09-04 09:15:08.321000+00:00
ANV;2025-06-04;15.59;16.02;15.54;15.68;1481700;2026-09-04 09:15:08.321000+00:00
ANV;2025-06-05;15.68;15.92;15.54;15.88;1666200;2026-09-04 09:15:08.321000+00:00
ANV;2025-06-06;16.02;16.02;15.54;15.54;1387400;2026-09-04 09:15:08.321000+00:00
ANV;2025-06-09;15.49;15.54;15.25;15.25;1528000;2026-09-04 09:15:08.321000+00:00
ANV;2025-06-10;15.25;15.68;15.25;15.54;1142700;2026-09-04 09:15:08.321000+00:00
ANV;2025-06-11;15.54;15.88;15.49;15.63;553700;2026-09-04 09:15:08.321000+00:00
ANV;2025-06-12;15.78;15.92;15.59;15.78;980300;2026-09-04 09:15:08.321000+00:00
ANV;2025-06-13;15.54;15.73;15.44;15.54;1209000;2026-09-04 09:15:08.321000+00:00
ANV;2025-06-16;15.59;16.26;15.59;16.07;2070800;2026-09-04 09:15:08.321000+00:00
ANV;2025-06-17;16.17;16.36;16.02;16.02;1100900;2026-09-04 09:15:08.321000+00:00
ANV;2025-06-18;16.12;16.21;15.83;16.07;1182800;2026-09-04 09:15:08.321000+00:00
ANV;2025-06-19;16.12;16.12;15.83;15.83;679000;2026-09-04 09:15:08.321000+00:00
ANV;2025-06-20;15.88;16.89;15.78;16.89;3665900;2026-09-04 09:15:08.321000+00:00
ANV;2025-06-23;16.99;17.18;16.6;17.09;3944500;2026-09-04 09:15:08.321000+00:00
ANV;2025-06-24;17.38;17.86;17.23;17.47;3937400;2026-09-04 09:15:08.321000+00:00
ANV;2025-06-25;17.47;17.86;17.23;17.67;3203700;2026-09-04 09:15:08.321000+00:00
ANV;2025-06-26;17.81;18.39;17.57;18.25;3619400;2026-09-04 09:15:08.321000+00:00
ANV;2025-06-27;18.59;19.51;18.34;19.17;6540800;2026-09-04 09:15:08.321000+00:00
ANV;2025-06-30;19.26;20.47;19.26;20.47;6576300;2026-09-04 09:15:08.321000+00:00
ANV;2025-07-01;21.3;21.88;20.43;21.88;8833600;2026-09-04 09:15:08.321000+00:00
ANV;2025-07-02;22.17;23.38;21.88;22.85;8076400;2026-09-04 09:15:08.321000+00:00
ANV;2025-07-03;22.31;23.72;21.25;21.88;6746100;2026-09-04 09:15:08.321000+00:00
ANV;2025-07-04;21.64;23.14;21.3;23.14;3668300;2026-09-04 09:15:08.321000+00:00
ANV;2025-07-07;24.49;24.49;22.75;22.85;2706500;2026-09-04 09:15:08.321000+00:00
ANV;2025-07-08;23.14;23.23;22.46;22.8;3519200;2026-09-04 09:15:08.321000+00:00
ANV;2025-07-09;22.94;22.94;21.83;22.46;4647600;2026-09-04 09:15:08.321000+00:00
ANV;2025-07-10;22.56;22.6;21.15;21.49;6884000;2026-09-04 09:15:08.321000+00:00
ANV;2025-07-11;21.49;21.88;20.81;21.83;3649400;2026-09-04 09:15:08.321000+00:00
ANV;2025-07-14;21.97;22.6;21.78;21.78;2616300;2026-09-04 09:15:08.321000+00:00
ANV;2025-07-15;21.97;21.97;21.49;21.59;3616400;2026-09-04 09:15:08.321000+00:00
ANV;2025-07-16;21.73;22.27;21.59;21.88;3785600;2026-09-04 09:15:08.321000+00:00
ANV;2025-07-17;22.07;23.09;21.93;22.27;7485400;2026-09-04 09:15:08.321000+00:00
ANV;2025-07-18;22.7;22.7;21.97;22.22;3082800;2026-09-04 09:15:08.321000+00:00
ANV;2025-07-21;22.22;23.09;22.07;22.56;5480000;2026-09-04 09:15:08.321000+00:00
ANV;2025-07-22;23.14;24.1;22.51;23.09;8501200;2026-09-04 09:15:08.321000+00:00
ANV;2025-07-23;23.38;23.38;22.22;23.04;4048500;2026-09-04 09:15:08.321000+00:00
ANV;2025-07-24;23.14;23.14;22.27;22.56;3548400;2026-09-04 09:15:08.321000+00:00
ANV;2025-07-25;22.6;24.06;22.6;23.77;11451800;2026-09-04 09:15:08.321000+00:00
ANV;2025-07-28;24.35;24.54;23.48;24.06;5487800;2026-09-04 09:15:08.321000+00:00
